3085.8000,18,14,7.82000E+13,3.89E-01,1s1 2s1 2p2,1s2 2s1 2p1,[3P1],[3P0]
3086.0700,18,14,5.39000E+13,3.14E-01,1s1 2s1 2p2,1s2 2s1 2p1,[3D1],[3P1]
3086.6900,18,15,1.64000E+11,9.47E-01,1s1 2s1 2p1,1s2 2s1,[4P1/2],[2S1/2]
3087.3700,18,14,4.59000E+12,2.08E-02,1s1 2s1 2p2,1s2 2s1 2p1,[3P2],[3P1]
3087.4000,18,14,1.38000E+11,8.02E-04,1s1 2s1 2p2,1s2 2s1 2p1,[3D1],[3P0]
3087.5500,18,15,4.50000E+11,9.83E-01,1s1 2s1 2p1,1s2 2s1,[4P3/2],[2S1/2]
3088.8200,18,14,1.51000E+14,7.19E-01,1s1 2s1 2p2,1s2 2s1 2p1,[1P1],[1P1]
3090.9300,18,14,5.29000E+13,1.79E-01,1s1 2s1 2p2,1s2 2s1 2p1,[1S0],[1P1]
3091.7929,18,14,9.81000E+13,4.28E-01,1s1 2s2 2p1,1s2 2s2,[1P1],[1S0]
3097.4000,18,14,3.15000E+13,2.99E-01,1s1 2s1 2p2,1s2 2s1 2p1,[3S1],[3P2]
3099.2400,18,14,1.41000E+13,1.35E-01,1s1 2s1 2p2,1s2 2s1 2p1,[3S1],[3P1]
3100.5700,18,14,3.73000E+12,3.55E-02,1s1 2s1 2p2,1s2 2s1 2p1,[3S1],[3P0]
3102.3600,18,14,3.10000E+12,1.42E-02,1s1 2s1 2p2,1s2 2s1 2p1,[1D2],[3P2]
3103.5400,18,14,1.13000E+13,8.92E-02,1s1 2s1 2p2,1s2 2s1 2p1,[3P1],[3P2]
3103.8000,18,14,9.38000E+12,5.01E-02,1s1 2s1 2p2,1s2 2s1 2p1,[3P0],[3P1]
3104.1710,18,16,4.77555E+06,1.00E+00,1s1 2s1,1s2,[3S1],[1S0]
3104.1900,18,14,1.13000E+11,5.20E-04,1s1 2s1 2p2,1s2 2s1 2p1,[1D2],[3P1]
3105.3700,18,14,1.65000E+11,1.30E-03,1s1 2s1 2p2,1s2 2s1 2p1,[3P1],[3P1]
3106.7000,18,14,7.14000E+11,5.62E-03,1s1 2s1 2p2,1s2 2s1 2p1,[3P1],[3P0]
3112.4000,18,15,8.65000E+13,7.32E-01,1s1 2s1 2p1,1s2 2s1,[2P1/2]#1,[2S1/2]
3114.1500,18,15,1.00000E+14,9.12E-01,1s1 2s1 2p1,1s2 2s1,[2P3/2]#1,[2S1/2]
3115.3100,18,14,7.51000E+09,3.58E-05,1s1 2s1 2p2,1s2 2s1 2p1,[1P1],[3P2]
3117.1500,18,14,7.90000E+09,3.76E-05,1s1 2s1 2p2,1s2 2s1 2p1,[1P1],[3P1]
3118.4800,18,14,5.37000E+10,2.56E-04,1s1 2s1 2p2,1s2 2s1 2p1,[1P1],[3P0]
3119.2500,18,14,4.07000E+09,1.38E-05,1s1 2s1 2p2,1s2 2s1 2p1,[1S0],[3P1]
3123.3700,18,16,1.81000E+12,1.00E+00,1s1 2p1,1s2,[3P1],[1S0]
3125.3700,18,15,1.97000E+13,1.65E-01,1s1 2s1 2p1,1s2 2s1,[2P1/2]#2,[2S1/2]
3125.9000,18,15,6.77000E+12,5.62E-02,1s1 2s1 2p1,1s2 2s1,[2P3/2]#2,[2S1/2]
