3082,45.5275746
3083,263.8787280
3084,711.3674730
3085,1256.4997200
3086,1841.0945400
3087,2592.1496900
3088,3378.0951000
3089,4137.0287000
3090,4980.0225100
3091,5747.6083300
3092,6701.1817700
3093,7502.9544200
3094,8425.9988700
3095,9348.9026400
3096,10263.9280000
3097,11264.7721000
3098,12105.7963000
3099,12725.9426000
3100,13660.6640000
3101,14323.5791000
3102,15005.9088000
3103,15610.0169000
3104,15604.6708000
3105,15273.2133000
3106,14870.5684000
3107,14166.5729000
3108,13364.0968000
3109,12615.6443000
3110,11818.2330000
3111,10953.8548000
3112,10130.4592000
3113,9122.5951400
3114,8386.6066400
3115,7513.7872800
3116,6533.6240900
3117,5683.5959500
3118,4784.1868300
3119,3955.9651100
3120,3196.1170500
3121,2432.6111400
3122,1838.4355700
3123,1215.5599300
3124,697.1440630
3125,307.3719750
3126,44.6764209
